,car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
66,Audi A4 35,2950000,71235,Diesel,Ahmedabad,2018
67,Chevrolet Cruze LTZ,590000,56000,Diesel,Ahmedabad,2013
68,Hyundai Grand i10,413999,74938,Petrol,Delhi,2016
69,Honda City 1.5,285000,82000,Petrol,Noida,2009
70,Maruti Suzuki Wagon,675000,57685,CNG,Pune,2021
71,Hyundai Elite i20,710000,48000,Petrol,Hyderabad,2018
72,Mercedes-Benz C-Class 220,1395000,120000,Diesel,Hyderabad,2013
73,Hyundai Eon Magna,320000,33146,Petrol,Ahmedabad,2015
74,Maruti Suzuki Baleno,629000,26603,Petrol,Delhi,2019
75,Volkswagen Vento Comfortline,651000,53094,Petrol,Mumbai,2016
76,Hyundai Grand i10,475000,4098,Petrol,Mumbai,2017
77,Maruti Suzuki Wagon,289000,75379,Petrol,Pune,2011
78,Hyundai Venue S,897000,15763,Petrol,Kolkata,2019
79,Mercedes-Benz C-Class 200,850000,119500,Petrol,Ahmedabad,2010
80,Maruti Suzuki Wagon,276000,42697,Petrol,Kolkata,2013
81,Hyundai Elite i20,690000,45000,Petrol,Ahmedabad,2018
82,Maruti Suzuki Vitara,1044000,55174,Diesel,Pune,2019
83,Honda City VX,735000,82953,Petrol,Chennai,2016
84,Maruti Suzuki Wagon,390000,85138,Petrol,Pune,2016
85,Audi Q5 3.0,2500000,57000,Diesel,Hyderabad,2015
86,Audi A6 2.0,1125000,52000,Diesel,Kolkata,2013
87,Hyundai Creta SX,978999,27623,Petrol,Bangalore,2016
88,Hyundai Xcent SX,499000,73333,Petrol,Bangalore,2015
89,MG Hector Sharp,1659000,45999,Diesel,Bangalore,2019
90,Maruti Suzuki Baleno,545000,61518,Petrol,Noida,2017
91,Maruti Suzuki S-Presso,476000,65,Petrol,Delhi,2021
92,Maruti Suzuki Baleno,739000,42400,Diesel,Bangalore,2017
93,Jeep Compass Limited,1395000,45221,Petrol,Mumbai,2017
94,Maruti Suzuki Ignis,628000,11290,Petrol,Pune,2020
95,Hyundai Grand i10,409000,68446,Petrol,Delhi,2016
96,Honda City V,590000,51850,Petrol,Mumbai,2015
97,Toyota Glanza G,795000,10000,Petrol,Mumbai,2020
98,Audi Q3 2.0,1190000,69500,Diesel,Ahmedabad,2012
99,Maruti Suzuki Swift,445000,44681,Petrol,Hyderabad,2012
100,Renault Kwid RXT,299000,65428,Petrol,Pune,2016
101,Hyundai Verna Fluidic,391000,84344,Petrol,Delhi,2013
102,Maruti Suzuki Vitara,890000,113600,Diesel,Thane,2018
103,Maruti Suzuki Wagon,599000,17778,CNG,Delhi,2020
104,Maruti Suzuki Baleno,580000,33269,Petrol,Kolkata,2018
105,MG Hector Sharp,1925000,15222,Petrol,Bangalore,2021
106,Honda City V,925000,87139,Diesel,Hyderabad,2017
107,Maruti Suzuki Swift,340000,69551,Petrol,Delhi,2013
108,Hyundai Verna Fluidic,484999,72500,Diesel,Thane,2013
109,Maruti Suzuki Swift,633000,28899,Petrol,Delhi,2018
110,Maruti Suzuki Wagon,396000,13595,Petrol,Kolkata,2017
111,Ford Endeavour Titanium,2475000,83000,Diesel,Mumbai,2016
112,Hyundai Elite i20,775000,19418,Petrol,Bangalore,2019
113,Volvo V40 D3,1200000,50965,Diesel,Kolkata,2015
114,Ford EcoSport Ambiente,491000,74000,Diesel,Thane,2014
115,Hyundai Xcent SX,425000,21707,Diesel,Kolkata,2017
116,Mahindra XUV500 W8,740000,83555,Diesel,Hyderabad,2013
117,Hyundai Verna 1.6,585000,37000,Petrol,Mumbai,2015
118,Hyundai Grand i10,385000,43000,Petrol,Noida,2014
119,Maruti Suzuki Baleno,690000,21769,Petrol,Mumbai,2017
120,BMW 5 Series,4250000,32000,Petrol,Mumbai,2018
121,Maruti Suzuki Ciaz,799000,14886,Petrol,Mumbai,2018
122,MG Hector Plus,1889999,6602,Petrol,Ahmedabad,2020
123,Maruti Suzuki Wagon,385000,58000,CNG,Thane,2014
124,Maruti Suzuki Wagon,407000,63339,CNG,Pune,2014
125,Maruti Suzuki Ciaz,830000,4500,Petrol,Faridabad,2020
126,Renault Triber RXZ,760000,23600,Petrol,Chennai,2020
127,Hyundai Venue S,955000,17844,Petrol,Kolkata,2019
128,Honda City SV,875000,21000,Petrol,Ahmedabad,2019
129,Tata Indica LS,250000,60000,Diesel,Thiruvallur,2017
130,Maruti Suzuki Celerio,450000,34530,Petrol,Thane,2016
131,Honda CR-V 2.4,1400000,117192,Petrol,Hyderabad,2014
132,Honda Jazz VX,595000,54000,Diesel,Thane,2016
133,Nissan Terrano XL,679000,38999,Petrol,Bangalore,2016
134,Volkswagen Ameo Highline,660000,58549,Diesel,Chennai,2017
135,Hyundai Elite i20,687000,41055,Petrol,Delhi,2019
136,Renault Kwid 1.0,304000,53728,Petrol,Delhi,2018
137,Hyundai Grand i10,529000,42141,Petrol,Bangalore,2017
138,Tata Tiago JTP,416000,63130,Petrol,Delhi,2018
139,Maruti Suzuki Alto,301000,53912,Petrol,Chennai,2016
140,Tata Nexon XMA,941000,20678,Diesel,Thane,2019
141,Tata Safari XTA,2375000,4259,Diesel,Bangalore,2022
142,Honda Jazz E,490000,48866,Petrol,Ahmedabad,2016
143,Renault Kwid RXT,331000,32954,Petrol,Delhi,2018
144,Maruti Suzuki Wagon,235000,37000,Petrol,Mumbai,2012
145,Mahindra XUV500 W11,1390000,85000,Diesel,Ahmedabad,2018
146,Audi A3 35,2475000,36627,Diesel,Bangalore,2016
147,Volkswagen Polo GT,925000,62690,Petrol,Bangalore,2018
148,Toyota Innova Crysta,2150000,12039,Diesel,Ahmedabad,2020
149,Honda City VX,1204000,26230,Petrol,Delhi,2020
150,Hyundai Santro Sportz,557000,19156,Petrol,Pune,2020
151,Hyundai Grand i10,579000,18350,Petrol,Kolkata,2020
152,Hyundai Elite i20,554000,44053,Petrol,Pune,2018
153,Hyundai i10 1.1L,340000,69000,Petrol,Ahmedabad,2014
154,Kia Seltos GTX,1620000,51605,Petrol,Pune,2019
155,BMW 5 Series,4300000,40000,Diesel,Ahmedabad,2017
156,Tata Harrier XZ,1895000,35438,Diesel,Thane,2020
157,BMW 7 Series,1000000,65000,Petrol,Ahmedabad,2008
158,Maruti Suzuki Ciaz,885000,38500,Petrol,Ahmedabad,2020
159,Maruti Suzuki Wagon,484000,20583,CNG,Pune,2018
160,Skoda Rapid Style,715000,81325,Diesel,Kolkata,2016
161,Maruti Suzuki Baleno,590000,35000,Petrol,Ahmedabad,2017
162,Maruti Suzuki Celerio,484999,25000,Petrol,Hyderabad,2015
163,Honda Jazz V,462000,37993,Petrol,Delhi,2015
164,Land Rover Discovery,3499000,21693,Diesel,Kolkata,2018
165,Hyundai Creta SX,1025000,63194,Petrol,Thane,2018
166,Hyundai i10 1.2,180000,60000,Petrol,Thane,2009
167,Honda City VX,1200000,70000,Petrol + 1,Ambattur,2018
168,Tata Hexa XTA,1600000,51000,Diesel + 1,Ambattur,2018
169,Hyundai Elite i20,830000,22024,Petrol,Thane,2019
170,Skoda Octavia 2.0,2095000,35793,Diesel,Hyderabad,2017
171,Hyundai Tucson GLS,1925000,75400,Diesel,Pune,2017
172,Maruti Suzuki Swift,475000,84996,Diesel,Hyderabad,2016
173,Maruti Suzuki Swift,459999,74767,Petrol,Mumbai,2015
174,Honda Amaze 1.2,342000,63956,Petrol,Gurgaon,2013
175,Maruti Suzuki Wagon,450000,48000,CNG,Thane,2017
176,Renault Duster 85,685000,48330,Diesel,Bangalore,2014
177,Maruti Suzuki Alto,210000,93150,Petrol,Kolkata,2014
178,BMW X3 xDrive,4100000,69499,Diesel,Hyderabad,2016
179,Mahindra TUV300 T8,545000,75000,Diesel,Noida,2016
180,Kia Carnival Prestige,3499000,13748,Diesel,Bangalore,2021
181,Maruti Suzuki Ciaz,1075000,30672,Petrol,Bangalore,2019
182,Jeep Compass Limited,1798999,64683,Diesel,Bangalore,2019
183,Maruti Suzuki Baleno,711000,69886,Petrol,Mumbai,2019
184,Audi Q5 2.0,2150000,34000,Diesel,Kolkata,2014
185,Hyundai Creta SX,1149000,62137,Petrol,Bangalore,2019
186,Maruti Suzuki Baleno,524000,56800,Petrol,Delhi,2016
187,Hyundai Xcent S,475000,42382,Petrol,Thane,2015
188,Maruti Suzuki Wagon,390000,66794,Petrol,Kolkata,2018
189,Honda City V,1150000,19600,Petrol,Ahmedabad,2020
190,Mercedes-Benz S-Class 350,1900000,85489,Diesel,Hyderabad,2011
191,Renault Triber RXZ,750000,19784,Petrol,Mumbai,2020
192,Honda City ZX,1285000,19238,Petrol,Mumbai,2020
193,Maruti Suzuki Swift,420000,78518,Petrol,Hyderabad,2013
194,Hyundai Creta E,855000,54104,Petrol,Mumbai,2017
195,Renault Duster 85,899000,55300,Diesel,Bangalore,2018
196,Renault Kwid 1.0,348000,40397,Petrol,Chennai,2018
197,Mahindra XUV500 W8,811000,87527,Diesel,Mumbai,2015
198,Toyota Glanza V,675000,63000,Petrol,Ahmedabad,2019
199,Maruti Suzuki Swift,567000,83647,Diesel,Pune,2016
200,Isuzu MU-X 4x2,2100000,75592,Diesel,Hyderabad,2018
201,Renault Duster 85,475000,57660,Diesel,Mumbai,2012
202,Honda Amaze 1.2,685000,42277,Petrol,Noida,2018
203,Maruti Suzuki S-Presso,525000,2600,Petrol,Ahmedabad,2022
204,Volvo XC90 D5,2257000,51000,Diesel,Ahmedabad,2014
205,Hyundai Grand i10,575000,19630,Petrol,Mumbai,2017
206,Honda City VX,745000,42218,Petrol,Mumbai,2016
207,Toyota Glanza G,708000,69553,Petrol,Chennai,2019
208,Maruti Suzuki Alto,338000,48448,Petrol,Delhi,2017
209,Tata Tiago Revotron,484000,60167,Petrol,Delhi,2019
210,Honda City 1.5,395000,61000,Petrol,Noida,2012
211,Hyundai Grand i10,434000,26282,Petrol,Pune,2015
212,Mercedes-Benz E-Class E,6175000,19070,Diesel,Bangalore,2019
213,Audi A4 3.0,3200000,67262,Diesel,Chennai,2018
214,Maruti Suzuki Ciaz,872000,5814,Petrol,Kolkata,2020
215,Skoda Rapid Ultima,650000,76810,Diesel,Kolkata,2017
216,Honda Amaze 1.5,495000,63587,Diesel,Mumbai,2015
217,Kia Seltos GTX,1525000,28000,Petrol,Kolkata,2019
218,Honda Amaze 1.5,499000,42637,Diesel,Bangalore,2014
219,Maruti Suzuki Wagon,432000,52775,Petrol,Pune,2017
220,Maruti Suzuki Ciaz,850000,21809,Petrol,Thane,2019
221,Volkswagen Vento Highline,725000,45689,Petrol,Mumbai,2016
222,Maruti Suzuki Celerio,433000,34251,Petrol,Pune,2017
223,Maruti Suzuki Ertiga,720000,55000,CNG,Thane,2016
224,Skoda Rapid Ambition,925000,95004,Diesel,Hyderabad,2018
225,Tata Harrier XZ,1695000,20856,Diesel,Bangalore,2019
226,Maruti Suzuki Dzire,875000,11800,Petrol,Chennai,2020
227,Maruti Suzuki Baleno,509999,32897,Petrol,Pune,2016
228,Mahindra TUV300 T8,565000,47107,Diesel,Delhi,2016
229,Maruti Suzuki Alto,225000,76614,Petrol,Pune,2011
230,Audi Q3 35,1998999,32345,Diesel,Kolkata,2018
231,Jaguar XE Portfolio,3775000,35491,Diesel,Bangalore,2018
232,Toyota Innova Crysta,3250000,22562,Diesel,Hyderabad,2021
233,Maruti Suzuki Ciaz,745000,49908,Diesel,Mumbai,2018
234,MINI Cooper JCW,4400000,2482,Petrol,Mumbai,2021
235,Jeep Compass Limited,2300000,9000,Diesel,Ambattur,2020
236,Volkswagen Polo Comfortline,465000,27700,Petrol,Thane,2015
237,Maruti Suzuki Wagon,180000,49000,Petrol,Thane,2009
238,Maruti Suzuki Ignis,453000,12104,Petrol,Kolkata,2018
239,Hyundai Xcent SX,534000,28646,Petrol,Pune,2016
240,Maruti Suzuki Alto,204999,35965,Petrol,Kolkata,2014
241,Mercedes-Benz E-Class E350,1550000,64000,Diesel,Hyderabad,2010
242,Maruti Suzuki Baleno,735000,5288,Petrol,Thane,2020
243,Volvo S60 Kinetic,1789999,90604,Diesel,Hyderabad,2017
244,Maruti Suzuki Estilo,225000,68000,Petrol + 1,Thiruvallur,2011
245,Hyundai i20 Asta,850000,32243,Petrol,Hyderabad,2020
246,Maruti Suzuki Ciaz,687000,33823,Petrol,Delhi,2017
247,Maruti Suzuki Swift,538000,25412,Petrol,Kolkata,2018
248,BMW 3 Series,5750000,22600,Diesel,Chennai,2021
249,Honda City V,830000,56468,Petrol,Ahmedabad,2017
250,Ford Figo Duratec,240000,73000,Petrol + 1,Poonamallee,2011
251,Honda City SV,630000,24751,Petrol,Kolkata,2018
252,Audi TT 45,4600000,9865,Petrol,Ahmedabad,2016
253,Maruti Suzuki Celerio,475000,29646,Petrol,Thane,2016
254,BMW X1 sDrive20d,2175000,55000,Diesel,Mumbai,2017
255,Volvo S90 D4,5900000,15446,Diesel,Hyderabad,2020
256,Maruti Suzuki Celerio,445000,24595,Petrol,Mumbai,2016
257,Hyundai Creta 1.6,998000,97761,Diesel,Pune,2016
258,Maruti Suzuki Celerio,565000,47000,Petrol,Hyderabad,2020
259,Hyundai Grand i10,484999,66471,Petrol,Delhi,2017
260,Datsun redi-GO S,325000,37000,Petrol,Ahmedabad,2019
261,Kia Seltos GTX,1689999,28100,Petrol,Ahmedabad,2020
262,Skoda Octavia Elegance,799000,63000,Diesel,Delhi,2014
263,Maruti Suzuki Wagon,430000,26600,CNG,Pune,2016
264,Mahindra XUV500 W8,575000,55105,Diesel,Kolkata,2013
265,Hyundai Eon Era,330000,42748,Petrol,Chennai,2017
266,Audi Q7 45,5950000,51000,Diesel,Ahmedabad,2018
267,Audi A6 35,2500000,76000,Diesel,Ahmedabad,2018
268,Hyundai Elite i20,613000,35247,Petrol,Pune,2017
269,Hyundai Elite i20,559000,30183,Petrol,Kolkata,2019
270,Mercedes-Benz GLS 350,6800000,88000,Diesel,Hyderabad,2018
271,MG Hector Sharp,1698999,7870,Petrol,Kolkata,2021
272,Mahindra XUV500 W10,1490000,50000,Diesel,Chennai,2018
273,BMW 3 Series,1710000,46000,Diesel,Delhi,2015
274,Maruti Suzuki Celerio,490000,28726,Petrol,Thane,2018
275,Maruti Suzuki Wagon,313000,32907,Petrol,Delhi,2014
276,Maruti Suzuki Alto,332000,29092,Petrol,Kolkata,2019
277,Hyundai Creta 1.6,745000,62461,Petrol,Mumbai,2016
278,Skoda Rapid Ambition,385000,60000,Petrol,Noida,2012
279,Jaguar XF 3.0,2650000,62645,Diesel,Hyderabad,2015
280,Toyota Innova 2.5,975000,83000,Diesel,Ahmedabad,2015
281,Hyundai i10 1.1L,350000,55000,Petrol,Ahmedabad,2015
282,Toyota Fortuner 2.8,3500000,181213,Diesel,Hyderabad,2019
283,Maruti Suzuki Dzire,690000,25000,Petrol,Delhi,2020
284,Datsun GO T,235000,52000,Petrol,Ahmedabad,2018
285,Ford EcoSport Titanium,451000,38203,Petrol,Kolkata,2013
286,Maruti Suzuki Wagon,405999,64942,CNG,Delhi,2017
287,Maruti Suzuki Baleno,540000,47837,Petrol,Delhi,2018
288,Maruti Suzuki Ertiga,500000,85000,Petrol + 1,Thiruvallur,2013
289,Mercedes-Benz CLA 200,1648999,51500,Diesel,Kolkata,2015
290,Skoda Octavia 1.8,2100000,23160,Petrol,Hyderabad,2018
291,Toyota Corolla Altis,695000,75000,Petrol,Thane,2015
292,Toyota Corolla Altis,883000,63000,Petrol,Delhi,2014
293,BMW 3 Series,1550000,104264,Diesel,Hyderabad,2013
294,Hyundai Elite i20,659000,15972,Petrol,Delhi,2017
295,Hyundai Eon Magna,320000,33146,Petrol,Ahmedabad,2015
296,Maruti Suzuki Swift,674000,30956,Petrol,Chennai,2020
297,Renault Kiger RXT,998000,4371,Petrol,Kolkata,2022
298,Hyundai Elite i20,1075000,63653,Diesel,Hyderabad,2020
299,Honda City 1.5,405000,55297,Petrol,Thane,2013
300,Porsche Cayenne Turbo,7856999,12000,Petrol,Ahmedabad,2015
301,Maruti Suzuki Swift,417000,21391,Petrol,Kolkata,2014
302,Renault Kwid CLIMBER,483000,11546,Petrol,Delhi,2021
303,Hyundai Santro Sportz,589000,16270,Petrol,Pune,2020
304,Nissan Micra XV,290000,73000,Diesel,Ahmedabad,2012
305,Hyundai Grand i10,549000,53000,Petrol,Hyderabad,2018
306,Mercedes-Benz CLA 200,1925000,34000,Petrol,Mumbai,2016
307,Hyundai Venue S,1064000,16328,Petrol,Pune,2019
308,Land Rover Range,7700000,5600,Petrol,Thane,2021
309,Maruti Suzuki S-Cross,760000,73994,Diesel,Hyderabad,2016
310,Hyundai Verna SX,1059000,43920,Petrol,Bangalore,2019
311,Maruti Suzuki Wagon,317000,17715,Petrol,Kolkata,2014
312,Toyota Corolla Altis,1040000,82902,Petrol,Delhi,2018
313,Land Rover Range,0,39012,Diesel,Thane,2019
314,Maruti Suzuki Wagon,471000,23344,Petrol,Hyderabad,2018
315,Hyundai Verna 1.6,749000,93494,Petrol,Kolkata,2019
316,Honda Jazz V,725000,27222,Petrol,Mumbai,2018
317,Hyundai Creta S,1600000,14468,Diesel,Hyderabad,2021
318,Honda Jazz V,747000,40000,Diesel + 1,Pallikarnai,2017
319,Maruti Suzuki Ciaz,575000,65000,Petrol,Thane,2015
320,Maruti Suzuki Alto,190000,60028,Petrol,Delhi,2012
321,Mercedes-Benz CLA 200,2950000,37300,Diesel,Bangalore,2018
322,Hyundai Creta 1.6,1125000,32143,Petrol,Mumbai,2018
323,Hyundai Elite i20,645000,55669,Petrol,Chennai,2016
324,Hyundai Grand i10,405000,72757,Petrol,Delhi,2016
325,Honda City SV,875000,56000,Petrol,Ahmedabad,2017
326,Maruti Suzuki Swift,326000,70244,Petrol,Kolkata,2013
327,BMW X1 sDrive20d,2145000,46595,Diesel,Delhi,2018
328,Maruti Suzuki XL6,951000,20703,Petrol,Ahmedabad,2020
329,Tata Harrier XZ,1465000,47579,Diesel,Mumbai,2019
330,BMW X1 sDrive20d,2800000,31000,Diesel,Kolkata,2019
331,Mercedes-Benz GLE 350,5800000,31300,Diesel,Ahmedabad,2019
332,Ford EcoSport Titanium+,750000,52157,Diesel,Hyderabad,2016
333,Mahindra XUV500 W6,950000,91000,Diesel,Ahmedabad,2016
334,Audi A6 2.0,2100000,69631,Diesel,Hyderabad,2013
335,Hyundai i20 Active,611000,32036,Petrol,Mumbai,2018
336,Mercedes-Benz AMG GLA35,6450000,2000,Petrol,Chennai,2022
337,Hyundai Elite i20,600000,22621,Petrol,Kolkata,2018
338,Honda City VX,625000,45000,Petrol,Thane,2015
339,Hyundai Verna Fluidic,1126000,33423,Petrol,Pune,2019
340,Hyundai i10 1.1L,350000,31500,Petrol,Ahmedabad,2015
341,Hyundai Creta SX,925000,51000,Petrol,Thane,2017
342,Renault Duster 85,978999,39030,Diesel,Bangalore,2018
343,Mercedes-Benz C-Class C,3056000,27236,Petrol,Bangalore,2018
344,Maruti Suzuki Celerio,357000,24063,Petrol,Kolkata,2015
345,Volkswagen Polo Highline1.2L,521000,59819,Petrol,Mumbai,2015
346,Renault Kwid 1.0,438999,8297,Petrol,Delhi,2019
347,Maruti Suzuki Dzire,735000,32740,Petrol,Pune,2017
348,BMW 5 Series,4599000,34500,Diesel,Ahmedabad,2020
349,Kia Sonet GTX,1419000,25007,Diesel,Pune,2020
350,Maruti Suzuki Ignis,488999,38944,Petrol,Chennai,2019
351,Hyundai Grand i10,405000,72757,Petrol,Delhi,2016
352,Volkswagen Vento Trendline,350000,101740,Petrol,Hyderabad,2010
353,Maruti Suzuki Celerio,599000,9130,Petrol,Pune,2019
354,Honda Jazz V,675000,48650,Petrol,Mumbai,2017
355,Hyundai Creta 1.6,1028999,40314,Petrol,Pune,2016
356,Volvo XC90 D5,2287000,30800,Diesel,Ahmedabad,2015
357,Maruti Suzuki Alto,345000,33000,CNG,Noida,2019
358,Hyundai Elite i20,790000,54000,Petrol,Hyderabad,2019
359,Honda City V,844999,22500,Petrol,Thane,2018
360,Toyota Glanza G,849000,29866,Petrol,Bangalore,2020
361,Ford Aspire Titanium,535000,65000,Petrol,Noida,2017
362,Ford EcoSport Titanium,475000,78822,Petrol,Faridabad,2014
363,Volkswagen Taigun GT,1648999,9792,Petrol,Ahmedabad,2021
364,Hyundai Grand i10,569000,64774,Petrol,Bangalore,2016
365,Toyota Fortuner 2.8,3375000,31283,Diesel,Bangalore,2018
366,Skoda Rapid Ambition,1082000,10713,Petrol,Delhi,2020
367,Maruti Suzuki Baleno,699000,13127,Petrol,Kolkata,2021
368,Maruti Suzuki Wagon,425000,50000,Petrol,Thane,2016
369,Maruti Suzuki Alto,325000,35340,Petrol,Pune,2018
370,Honda Jazz V,651000,27654,Petrol,Mumbai,2017
371,Hyundai Santro Sportz,523000,40067,CNG,Pune,2018
372,Maruti Suzuki Baleno,548000,50899,Petrol,Delhi,2018
373,Hyundai Grand i10,459999,52000,Petrol,Thane,2017
374,Honda City S,695000,51292,Petrol,Thane,2017
375,Hyundai Elite i20,519000,19905,Petrol,Kolkata,2017
376,Tata Nano Twist,110000,18000,Petrol,Ahmedabad,2015
377,Maruti Suzuki Ertiga,1140000,28715,CNG,Thane,2021
378,Maruti Suzuki Ertiga,721000,69161,CNG,Mumbai,2015
379,Maruti Suzuki S-Cross,886999,54571,Diesel,Pune,2017
380,Honda City VX,775000,25000,Petrol,Thane,2016
381,Honda City VX,875000,24259,Petrol,Kolkata,2019
382,Maruti Suzuki Alto,295000,30233,Petrol,Pune,2015
383,Mahindra Thar LX,1750000,21000,Diesel,Delhi,2021
384,Maruti Suzuki Ertiga,825000,51000,CNG,Thane,2017
385,Hyundai Grand i10,450000,23137,Petrol,Thane,2016
386,Land Rover Discovery,2600000,159070,Diesel,Hyderabad,2015
387,Maruti Suzuki Dzire,645000,52328,Diesel,Noida,2018
388,Maruti Suzuki Baleno,666000,35849,Petrol,Pune,2017
389,Hyundai Venue SX,1066000,24783,Petrol,Bangalore,2020
390,Maruti Suzuki Ciaz,500000,27346,Petrol,Kolkata,2016
391,Hyundai i10 Magna,349000,75619,Petrol,Chennai,2014
392,Hyundai i10 Magna,245000,54000,Petrol,Kolkata,2013
393,Nissan Sunny XE,295000,58000,Petrol,Noida,2012
394,Jeep Wrangler Rubicon,6500000,27340,Petrol,Hyderabad,2021
395,Maruti Suzuki Swift,630000,17000,Petrol,Pallikarnai,2020
396,Volkswagen Vento Highline,790000,111139,Diesel,Mumbai,2018
397,Hyundai Elantra 1.6,1875000,40916,Diesel,Pune,2018
398,Honda WR-V VX,950000,120463,Diesel,Thiruvallur,2018
399,Honda BR-V VX,799000,94197,Diesel,Thane,2017
400,Maruti Suzuki Swift,424000,76859,Petrol,Pune,2014
401,Honda City S,725000,33000,Petrol,Ahmedabad,2017
402,Maruti Suzuki Baleno,596000,17286,Petrol,Kolkata,2018
403,Mercedes-Benz GLA 220,2850000,40484,Diesel,Bangalore,2017
404,Tata Tiago Revotorq,540000,70450,Diesel,Ahmedabad,2020
405,Honda City V,840000,45074,Petrol,Kolkata,2019
406,Hyundai Elite i20,695000,101000,Diesel,Thane,2015
407,BMW 7 Series,5900000,22000,Petrol,Ahmedabad,2016
